fast runs
PF geneva
Daily PF:  2025-01-01 → 2025-12-31  (364 days,  20 perturbed members)
Depth weights: {0: 0.38, -1.0: 0.88, -2.0: 1.5, -4.0: 2.0, -6.0: 2.0, -8.0: 2.0, -10.0: 2.0, -12.0: 2.0, -14.0: 2.0, -16.0: 2.0, -18.0: 2.5, -21.0: 3.0, -24.0: 3.0, -27.0: 3.0, -30.0: 4.0, -35.0: 5.0, -40.0: 5.0, -45.0: 5.0, -50.0: 2.5}

Started 21 persistent containers.

  2025-02-03  best=ensemble18  RMSE=0.0345 °C  obs_raw=216  matched=198  [ok]  [docker=17.4s  accum=0.0s  mean=2.2s  score=1.1s  total=20.8s]
  2025-02-04  best=ensemble09  RMSE=0.0416 °C  obs_raw=216  matched=198  [ok]  [docker=18.2s  accum=0.0s  mean=2.2s  score=1.1s  total=21.5s]
  2025-02-05  best=ensemble13  RMSE=0.0547 °C  obs_raw=216  matched=198  [ok]  [docker=17.6s  accum=0.0s  mean=2.2s  score=1.1s  total=20.9s]
  2025-02-06  best=ensemble03  RMSE=0.0316 °C  obs_raw=216  matched=198  [ok]  [docker=17.4s  accum=0.0s  mean=2.4s  score=1.1s  total=21.0s]
  2025-02-07  best=ensemble10  RMSE=0.0336 °C  obs_raw=151  matched=133  [ok]  [docker=17.5s  accum=0.0s  mean=2.2s  score=1.1s  total=20.8s]
  2025-02-08  no obs — snapshots unchanged  obs_raw=0  matched=0  [docker=17.4s  accum=0.0s  mean=2.4s  score=0.9s  total=20.7s]
  2025-02-09  best=ensemble16  RMSE=0.0182 °C  obs_raw=108  matched=108  [ok]  [docker=17.3s  accum=0.0s  mean=2.2s  score=1.1s  total=20.6s]
  2025-02-10  best=ensemble07  RMSE=0.0207 °C  obs_raw=432  matched=396  [ok]  [docker=17.5s  accum=0.0s  mean=2.2s  score=1.1s  total=20.8s]
  2025-02-11  best=ensemble20  RMSE=0.0211 °C  obs_raw=432  matched=396  [ok]  [docker=17.5s  accum=0.0s  mean=2.2s  score=1.1s  total=20.8s]
  2025-02-12  best=ensemble14  RMSE=0.0245 °C  obs_raw=432  matched=396  [ok]  [docker=17.5s  accum=0.0s  mean=2.0s  score=1.1s  total=20.7s]
  2025-02-13  best=ensemble17  RMSE=0.0242 °C  obs_raw=217  matched=181  [ok]  [docker=17.3s  accum=0.0s  mean=2.3s  score=1.1s  total=20.7s]
  2025-02-14  best=ensemble01  RMSE=0.0224 °C  obs_raw=209  matched=209  [ok]  [docker=17.6s  accum=0.0s  mean=2.2s  score=1.1s  total=20.9s]
  2025-02-15  best=ensemble07  RMSE=0.0331 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-02-16  best=ensemble08  RMSE=0.0329 °C  obs_raw=440  matched=402  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-02-17  best=ensemble05  RMSE=0.0311 °C  obs_raw=432  matched=396  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-02-18  best=ensemble16  RMSE=0.0357 °C  obs_raw=432  matched=396  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-02-19  best=ensemble16  RMSE=0.0365 °C  obs_raw=442  matched=406  [ok]  [docker=17.1s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-02-20  best=ensemble15  RMSE=0.0519 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-02-21  best=ensemble01  RMSE=0.0635 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-02-22  best=ensemble07  RMSE=0.0852 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-02-23  best=ensemble12  RMSE=0.1149 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-02-24  best=ensemble12  RMSE=0.1004 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-02-25  best=ensemble18  RMSE=0.1184 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-02-26  best=ensemble14  RMSE=0.0923 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-02-27  best=ensemble07  RMSE=0.0954 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.6s]
  2025-02-28  best=ensemble06  RMSE=0.0924 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-03-01  best=ensemble03  RMSE=0.0689 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.6s]
  2025-03-02  best=ensemble01  RMSE=0.0804 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.1s  total=20.5s]
  2025-03-03  best=ensemble18  RMSE=0.1027 °C  obs_raw=456  matched=418  [ok]  [docker=17.3s  accum=0.0s  mean=2.2s  score=1.1s  total=20.6s]
  2025-03-04  best=ensemble05  RMSE=0.1477 °C  obs_raw=456  matched=418  [ok]  [docker=17.3s  accum=0.0s  mean=2.3s  score=1.1s  total=20.7s]
  2025-03-05  best=ensemble20  RMSE=0.1739 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-03-06  best=ensemble13  RMSE=0.2134 °C  obs_raw=456  matched=418  [ok]  [docker=17.7s  accum=0.0s  mean=2.2s  score=1.1s  total=21.0s]
  2025-03-07  best=ensemble01  RMSE=0.2754 °C  obs_raw=456  matched=418  [ok]  [docker=17.2s  accum=0.0s  mean=2.2s  score=1.2s  total=20.5s]
  2025-03-08  best=ensemble12  RMSE=0.3269 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-03-09  best=ensemble12  RMSE=0.3350 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.3s]
  2025-03-10  best=ensemble20  RMSE=0.3564 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-03-11  best=ensemble18  RMSE=0.4208 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-03-12  best=ensemble18  RMSE=0.4120 °C  obs_raw=456  matched=418  [ok]  [docker=16.9s  accum=0.0s  mean=2.2s  score=1.1s  total=20.2s]
  2025-03-13  best=ensemble05  RMSE=0.3920 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.2s  score=1.1s  total=20.4s]
  2025-03-14  best=ensemble14  RMSE=0.4627 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.1s  score=1.1s  total=20.3s]
  2025-03-15  best=ensemble06  RMSE=0.2792 °C  obs_raw=456  matched=418  [ok]  [docker=17.0s  accum=0.0s  mean=2.4s  score=1.1s  total=20.6s]
